Msa,2016_dollars,2017_dollars,2018_dollars,Rank_2018,Percent_change_2017,Percent_change_2018,Percent_rank_2018,
"Saginaw, MI","36,722","37,286","38,754",338,1.5,3.9,292,
"St. Cloud, MN","42,971","44,679","46,513",175,4.0,4.1,269,
"St. George, UT","34,775","36,809","38,847",337,5.8,5.5,59,
"St. Joseph, MO-KS","36,629","37,934","39,253",333,3.6,3.5,344,
"St. Louis, MO-IL","51,500","52,944","55,883",64,2.8,5.6,58,
"Salem, OR","39,529","40,811","42,714",264,3.2,4.7,162,
"Salinas, CA","52,686","53,989","56,193",61,2.5,4.1,274,
"Salisbury, MD-DE","45,466","46,722","48,296",146,2.8,3.4,347,
"Salt Lake City, UT","47,394","49,048","51,736",98,3.5,5.5,62,
"San Angelo, TX","41,962","43,896","46,406",179,4.6,5.7,47,
"San Antonio-New Braunfels, TX","43,324","44,874","46,995",166,3.6,4.7,152,
"San Diego-Chula Vista-Carlsbad, CA","56,322","58,097","61,386",28,3.2,5.7,51,
"San Francisco-Oakland-Berkeley, CA","86,852","92,638","99,424",4,6.7,7.3,7,
"San Jose-Sunnyvale-Santa Clara, CA","91,198","98,690","106,213",3,8.2,7.6,5,
"San Luis Obispo-Paso Robles, CA","53,041","55,635","58,491",42,4.9,5.1,100,
"Santa Cruz-Watsonville, CA","61,166","64,901","69,355",15,6.1,6.9,12,
"Santa Fe, NM","54,386","55,273","58,510",41,1.6,5.9,41,
"Santa Maria-Santa Barbara, CA","57,432","59,633","62,690",25,3.8,5.1,101,
"Santa Rosa-Petaluma, CA","57,566","60,170","64,501",19,4.5,7.2,9,
"Savannah, GA","43,177","44,755","47,144",163,3.7,5.3,74,
"Scranton--Wilkes-Barre, PA","42,721","43,905","46,175",183,2.8,5.2,93,
"Seattle-Tacoma-Bellevue, WA","66,358","69,913","74,620",11,5.4,6.7,14,
"Sebastian-Vero Beach, FL","69,832","72,149","76,059",8,3.3,5.4,65,
"Sebring-Avon Park, FL","32,174","32,922","33,453",380,2.3,1.6,381,
"Sheboygan, WI","47,936","50,722","52,851",86,5.8,4.2,251,
"Sherman-Denison, TX","39,971","40,662","42,195",271,1.7,3.8,311,
"Shreveport-Bossier City, LA","43,350","43,808","46,509",177,1.1,6.2,27,
"Sierra Vista-Douglas, AZ","37,621","39,165","40,308",311,4.1,2.9,368,
"Sioux City, IA-NE-SD","47,174","48,058","50,586",112,1.9,5.3,80,
"Sioux Falls, SD","56,085","57,299","59,520",36,2.2,3.9,297,
"South Bend-Mishawaka, IN-MI","43,477","45,624","47,244",161,4.9,3.6,340,
"Spartanburg, SC","40,785","41,783","43,148",255,2.4,3.3,350,
"Spokane-Spokane Valley, WA","42,397","44,006","45,903",199,3.8,4.3,226,
"Springfield, IL","44,680","46,056","48,793",139,3.1,5.9,37,
"Springfield, MA","48,770","50,057","51,953",96,2.6,3.8,309,
"Springfield, MO","38,464","40,306","41,780",282,4.8,3.7,324,
"Springfield, OH","37,843","39,235","40,769",300,3.7,3.9,295,
"State College, PA","42,183","44,527","46,193",182,5.6,3.7,315,
"Staunton, VA","41,224","42,622","44,316",224,3.4,4.0,289,
"Stockton, CA","41,094","42,391","44,995",210,3.2,6.1,29,
"Sumter, SC","34,573","35,768","37,304",359,3.5,4.3,231,
"Syracuse, NY","45,393","48,009","49,736",125,5.8,3.6,332,
"Tallahassee, FL","39,419","40,605","42,601",266,3.0,4.9,120,
"Tampa-St. Petersburg-Clearwater, FL","43,763","45,313","47,240",162,3.5,4.3,243,
"Terre Haute, IN","35,425","36,789","38,299",349,3.9,4.1,270,
"Texarkana, TX-AR","35,637","36,485","37,607",357,2.4,3.1,363,
"The Villages, FL","42,126","44,097","46,100",191,4.7,4.5,182,
"Toledo, OH","43,742","44,668","46,868",169,2.1,4.9,116,
"Topeka, KS","42,951","43,758","46,017",193,1.9,5.2,96,
"Trenton-Princeton, NJ","64,505","65,877","69,344",16,2.1,5.3,79,
"Tucson, AZ","39,904","42,133","44,028",234,5.6,4.5,195,
"Tulsa, OK","48,035","51,134","54,866",70,6.5,7.3,8,
